Traced	Cell	Cross
120605AJK1742SF274.am	nm20120605c0	SF274-JK1742
120618AJK1742SF274.am	nm20120618c0	SF274-JK1742
120710JK304SF274.am   nm20120710c0	SF274-JK304
120730AJK1742SF274.am nm20120730c0	SF274-JK1742
120830CJK1742SF274.am nm20120830c2	SF274-JK1742
120906AJK1742SF274.am nm20120906c0	SF274-JK1742
120914AJK294SF274.am  nm20120914c0	SF274-JK294
120914BJK843SF341.am  nm20120914c2	JK843-SF341
121018AJK843SF401.am  nm20121018c0	JK843-SF401PC
121129AJK1742SF274.am nm20121129c0	SF274-JK1742
121225JK843SF401DC.am nm20121225c0	JK843-SF401PC
121227BJK843SF401DC.am nm20121227c3	JK843-SF401PC
130122AJK2204Cha.am    nm20130122c0	JK2204Cha
130213JK801Cha.am      nm20130213c0	JK801Cha
130214BJK801Cha.a      nm20130214c1	JK801Cha
